dacpac	sp_name	regex_sources	regex_targets	regex_exec	edge_count
customer	CONSUMPTION_FINANCE.spLoadDimAccount	[consumption_finance].[dimaccount],[staging_finance_cognos].[t_account_filter]	[consumption_finance].[dimaccount]	[dbo].[logmessage],[dbo].[splastrowcount]	3
customer	CONSUMPTION_FINANCE.spLoadDimAccountDetailsCognos	[consumption_finance].[dimaccountdetailscognos],[staging_finance_file].[cognos_template_subaccounts],[staging_finance_file].[cognos_template_subaccounts_raw]	[consumption_finance].[dimaccountdetailscognos],[staging_finance_file].[cognos_template_subaccounts]	[dbo].[logmessage],[dbo].[splastrowcount]	7
customer	CONSUMPTION_FINANCE.spLoadDimAccountDetailsSAP	[consumption_finance].[dimaccountdetailssap],[staging_finance_file].[sap_template_incomestatement],[staging_finance_file].[sap_template_incomestatement_raw]	[consumption_finance].[dimaccountdetailssap],[staging_finance_file].[sap_template_incomestatement]	[dbo].[logmessage],[dbo].[splastrowcount]	5
customer	CONSUMPTION_FINANCE.spLoadDimActuality	[consumption_finance].[dimactuality],[staging_finance_cognos].[t_actuality_filter]	[consumption_finance].[dimactuality]	[dbo].[logmessage],[dbo].[splastrowcount]	3
customer	CONSUMPTION_FINANCE.spLoadDimCompany	[consumption_finance].[dimcompany],[consumption_finance].[dimcountry],[staging_finance_cognos].[t_company_filter]	[consumption_finance].[dimcompany]	[dbo].[logmessage],[dbo].[splastrowcount]	6
customer	CONSUMPTION_FINANCE.spLoadDimConsType	[consumption_finance].[dimconstype],[staging_finance_cognos].[t_constype_filter]	[consumption_finance].[dimconstype]	[dbo].[logmessage],[dbo].[splastrowcount]	3
customer	CONSUMPTION_FINANCE.spLoadDimCurrency	[consumption_finance].[dimcurrency],[staging_finance_cognos].[t_currency_filter]	[consumption_finance].[dimcurrency]	[dbo].[logmessage],[dbo].[splastrowcount]	5
customer	CONSUMPTION_FINANCE.spLoadDimCustomers	[consumption_finance].[sap_sales_details_metrics],[consumption_finance].[sap_sales_summary_metrics]	[consumption_finance].[dimcustomers]	[dbo].[logmessage]	5
customer	CONSUMPTION_FINANCE.spLoadDimCustomersProjects	[consumption_finance].[dimcustomers],[consumption_finance].[dimprojects],[consumption_finance].[sap_sales_summary_metrics]	[consumption_finance].[dimcustomersprojects]	[dbo].[logmessage]	6
customer	CONSUMPTION_FINANCE.spLoadDimDepartment	[consumption_finance].[dimdepartment],[staging_finance_file].[departments],[staging_finance_file].[departments_raw]	[consumption_finance].[dimdepartment],[staging_finance_file].[departments]	[dbo].[logmessage],[dbo].[splastrowcount]	7
customer	CONSUMPTION_FINANCE.spLoadDimPosition	[consumption_finance].[dimposition],[staging_finance_file].[positions],[staging_finance_file].[positions_raw]	[consumption_finance].[dimposition],[staging_finance_file].[positions]	[dbo].[logmessage],[dbo].[splastrowcount]	7
customer	CONSUMPTION_FINANCE.spLoadDimProjects	[consumption_finance].[sap_sales_summary_metrics]	[consumption_finance].[dimprojects]	[dbo].[logmessage]	4
customer	CONSUMPTION_FINANCE.spLoadDimTables	-	-	[consumption_finance].[sploaddimaccount],[consumption_finance].[sploaddimaccountdetailscognos],[consumption_finance].[sploaddimaccountdetailssap],[consumption_finance].[sploaddimactuality],[consumption_finance].[sploaddimcompany],[consumption_finance].[sploaddimcompanykoncern],[consumption_finance].[sploaddimconstype],[consumption_finance].[sploaddimcurrency],[consumption_finance].[sploaddimdepartment],[consumption_finance].[sploaddimposition]	9
customer	CONSUMPTION_FINANCE.spLoadFact_SAP_Sales_Details	[consumption_finance].[dimcustomers],[consumption_finance].[dimcustomersprojects],[consumption_finance].[dimprojects],[consumption_finance].[sap_sales_details_metrics],[dbo].[dimdate]	[consumption_finance].[fact_sap_sales_details]	[dbo].[logmessage]	8
customer	CONSUMPTION_FINANCE.spLoadFact_SAP_Sales_Summary	[consumption_finance].[dimcustomers],[consumption_finance].[dimcustomersprojects],[consumption_finance].[dimprojects],[consumption_finance].[sap_sales_summary_metrics],[dbo].[dimdate]	[consumption_finance].[fact_sap_sales_summary]	[dbo].[logmessage]	8
customer	CONSUMPTION_FINANCE.spLoadFactAgingSAP	[consumption_finance].[dimcompany],[consumption_finance].[dimdatefinance],[consumption_finance].[factagingsap],[staging_finance_sap].[zfiv_dwh_aging]	[consumption_finance].[factagingsap]	[dbo].[logmessage],[dbo].[splastrowcount]	6
customer	CONSUMPTION_FINANCE.spLoadFactGLCOGNOS	[consumption_finance].[dimaccount],[consumption_finance].[dimaccountdetailscognos],[consumption_finance].[dimactuality],[consumption_finance].[dimcompany],[consumption_finance].[dimconstype],[consumption_finance].[dimcurrency],[consumption_finance].[dimdepartment],[consumption_finance].[dimmonthfinance],[consumption_finance].[dimposition],[consumption_finance].[factglcognos],[consumption_finance].[glcognosdata]	[consumption_finance].[factglcognos]	[dbo].[logmessage],[dbo].[splastrowcount]	11
customer	CONSUMPTION_FINANCE.spLoadFactGLSAP	[consumption_finance].[dimaccountdetailssap],[consumption_finance].[dimcompany],[consumption_finance].[dimcurrency],[consumption_finance].[dimdepartment],[consumption_finance].[dimmonthfinance],[consumption_finance].[factglsap],[consumption_finance].[sap_powerbi_fact]	[consumption_finance].[factglsap]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_FINANCE.spLoadFactLaborCostForEarnedValue	[consumption_finance].[factlaborcostforearnedvalue],[consumption_finance].[vfactlaborcost],[consumption_prima].[hrdepartments],[consumption_prima].[hrdepartmenttofinancesalsysmap]	[consumption_finance].[factlaborcostforearnedvalue]	[dbo].[logmessage],[dbo].[splastrowcount]	3
customer	CONSUMPTION_FINANCE.spLoadFactSAPSalesInterestSummary	[consumption_finance].[dimcustomers],[consumption_finance].[sap_sales_interest_summary_metrics],[dbo].[dimdate]	[consumption_finance].[factsapsalesinterestsummary]	[dbo].[logmessage]	6
customer	CONSUMPTION_FINANCE.spLoadFactSAPSalesRetainerDetails	[consumption_finance].[dimcustomers],[consumption_finance].[dimcustomersprojects],[consumption_finance].[dimprojects],[consumption_finance].[factsapsalesretainerdetails],[consumption_finance].[sap_sales_retainer_details_metrics],[dbo].[dimdate]	[consumption_finance].[factsapsalesretainerdetails]	[dbo].[logmessage],[dbo].[splastrowcount]	10
customer	CONSUMPTION_FINANCE.spLoadFactSAPSalesSponsorRiskInterestQuarterly	[consumption_finance].[factsapsalesinterestsummary],[consumption_finance].[quarterranges],[dbo].[dimdate]	[consumption_finance].[factsapsalessponsorriskinterestquarterly]	[dbo].[logmessage]	6
customer	CONSUMPTION_FINANCE.spLoadFactSAPSalesSponsorRiskRetainerQuarterly	[consumption_finance].[factsapsalesretainerdetails],[consumption_finance].[factsapsalessponsorriskretainerquarterly],[consumption_finance].[quarterranges],[dbo].[dimdate]	[consumption_finance].[factsapsalessponsorriskretainerquarterly]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_FINANCE.spLoadFactSAPSalesSponsorRiskSnapshot	[consumption_finance].[datafilters],[consumption_finance].[dimcustomersprojects],[consumption_finance].[fact_sap_sales_details],[consumption_finance].[factsapsalessponsorrisksnapshot],[consumption_finance].[sap_sales_details_metrics],[dbo].[dimdate]	[consumption_finance].[factsapsalessponsorrisksnapshot]	[dbo].[logmessage],[dbo].[splastrowcount]	10
customer	CONSUMPTION_FINANCE.spLoadFactTables	-	-	[consumption_finance].[sploadfactagingsap],[consumption_finance].[sploadfactglcognos],[consumption_finance].[sploadfactglsap],[consumption_finance].[sploadglcognosdata],[consumption_powerbi].[sploadfactaggregatedlaborcost],[consumption_powerbi].[sploadfactlaborcostforearnedvalue_1],[consumption_powerbi].[sploadfactlaborcostforearnedvalue_2]	7
customer	CONSUMPTION_FINANCE.spLoadGLCognosData	[consumption_finance].[glcognosdata],[staging_finance_cognos].[glcognosdata_hc100500],[staging_finance_cognos].[v_ccr2powerbi_facts]	[consumption_finance].[glcognosdata],[staging_finance_cognos].[glcognosdata_hc100500]	[dbo].[logmessage],[dbo].[splastrowcount]	7
customer	CONSUMPTION_FINANCE.spLoadQuarterRanges	[consumption_finance].[fact_sap_sales_summary],[dbo].[dimdate]	[consumption_finance].[quarterranges]	[dbo].[logmessage]	5
customer	CONSUMPTION_FINANCE.spLoadSAPSalesDetails	[consumption_finance].[sap_sales_details],[staging_finance_sap].[sap_sales_details]	[consumption_finance].[sap_sales_details]	[dbo].[logmessage],[dbo].[splastrowcount]	5
customer	CONSUMPTION_FINANCE.spLoadSAPSalesDetailsHistory	[consumption_finance].[sap_sales_details_history],[staging_finance_file].[sap_sales_details_history]	[consumption_finance].[sap_sales_details_history]	[dbo].[logmessage],[dbo].[splastrowcount]	4
customer	CONSUMPTION_FINANCE.spLoadSAPSalesDetailsMetrics	[consumption_finance].[sap_sales_details],[consumption_finance].[sap_sales_details_history],[consumption_finance].[sap_sales_details_metrics],[consumption_finance].[sap_sales_summary_metrics],[consumption_finance].[sap_tcurr]	[consumption_finance].[sap_sales_details_metrics]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_FINANCE.spLoadSAPSalesInterestSummaryMetrics	[consumption_finance].[sap_sales_interest_summary_metrics],[consumption_finance].[sap_sales_summary],[consumption_finance].[sap_sales_summary_metrics],[consumption_finance].[udfgetdatafiltercolumnvalue]	[consumption_finance].[sap_sales_interest_summary_metrics]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_FINANCE.spLoadSAPSalesRetainerDetailsMetrics	[consumption_finance].[datafilters],[consumption_finance].[sap_sales_details_metrics],[consumption_finance].[sap_sales_retainer_details_metrics]	[consumption_finance].[sap_sales_retainer_details_metrics]	[dbo].[logmessage],[dbo].[splastrowcount]	7
customer	CONSUMPTION_FINANCE.spLoadSAPSalesSummary	[consumption_finance].[sap_sales_summary],[staging_finance_sap].[sap_sales_summary]	[consumption_finance].[sap_sales_summary]	[dbo].[logmessage],[dbo].[splastrowcount]	5
customer	CONSUMPTION_FINANCE.spLoadSAPSalesSummaryHistory	[consumption_finance].[sap_sales_summary_history],[staging_finance_file].[sap_sales_summary_history]	[consumption_finance].[sap_sales_summary_history]	[dbo].[logmessage],[dbo].[splastrowcount]	4
customer	CONSUMPTION_FINANCE.spLoadSAPSalesSummaryMetrics	[consumption_finance].[sap_sales_summary],[consumption_finance].[sap_sales_summary_history],[consumption_finance].[sap_sales_summary_metrics],[consumption_finance].[sap_tcurr],[consumption_finance].[udfgetdatafiltercolumnvalue]	[consumption_finance].[sap_sales_summary_metrics]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_FINANCEHUB.spFactCadenceBudgetData_Aggregation	[consumption_financehub].[factcadencebudgetdata_aggregation],[consumption_financehub].[factcadencebudgetdata_post],[dbo].[udfdatekeytodate]	[consumption_financehub].[factcadencebudgetdata_aggregation]	[dbo].[logmessage]	5
customer	CONSUMPTION_FINANCEHUB.spFactEmployeeContractUtilizationMonthly	[consumption_financehub].[factemployeecontractutilizationmonthly],[consumption_financehub].[vlkpdepartment],[consumption_primahub].[employeecontractutilizationmonthly]	[consumption_financehub].[factemployeecontractutilizationmonthly]	[dbo].[logmessage]	5
customer	CONSUMPTION_FINANCEHUB.spFactGLCognos	[consumption_financehub].[factglcognos],[consumption_financehub].[vdimaccount],[consumption_financehub].[vdimactuality],[consumption_financehub].[vdimcompany],[consumption_financehub].[vdimconstype],[consumption_financehub].[vdimcountry],[consumption_financehub].[vdimdepartment],[consumption_financehub].[vdimposition],[transformation_financehub].[dimaccountdetailscognos_hist],[transformation_financehub].[glcognos]	[consumption_financehub].[factglcognos]	[dbo].[logmessage]	13
customer	CONSUMPTION_FINANCEHUB.spFactLaborCostForEarnedValue	[consumption_financehub].[factglcognos],[consumption_financehub].[factlaborcostforearnedvalue],[consumption_financehub].[vdatafilters],[consumption_prima].[monthlyaveragecurrencyexchangerate]	[consumption_financehub].[factlaborcostforearnedvalue]	[dbo].[logmessage]	7
customer	CONSUMPTION_FINANCEHUB.spFactLaborCostForEarnedValue_Aggregation	[consumption_financehub].[factlaborcostforearnedvalue_aggregation],[consumption_financehub].[factlaborcostforearnedvalue_post],[dbo].[udfdatekeytodate]	[consumption_financehub].[factlaborcostforearnedvalue_aggregation]	[dbo].[logmessage]	6
customer	CONSUMPTION_FINANCEHUB.spFactLaborCostForEarnedValue_Post	[consumption_financehub].[factlaborcostforearnedvalue],[consumption_financehub].[factlaborcostforearnedvalue_post],[dbo].[udfdatetodatekey],[transformation_financehub].[vgetforecastingcopydates]	[consumption_financehub].[factlaborcostforearnedvalue_post]	[dbo].[logmessage]	7
customer	CONSUMPTION_FINANCEHUB.spLoadFinanceHub	-	-	[consumption_financehub].[spfactemployeecontractutilizationmonthly],[consumption_financehub].[spfactglcognos],[consumption_financehub].[spfactlaborcostforearnedvalue],[consumption_financehub].[spfactlaborcostforearnedvalue_aggregation],[consumption_financehub].[spfactlaborcostforearnedvalue_post],[transformation_financehub].[spdatafilters_hist],[transformation_financehub].[spdimaccount_hist],[transformation_financehub].[spdimaccountdetailscognos_hist],[transformation_financehub].[spdimactuality_hist],[transformation_financehub].[spdimcompany_hist],[transformation_financehub].[spdimconstype_hist],[transformation_financehub].[spdimcountry_hist],[transformation_financehub].[spdimdepartment_hist],[transformation_financehub].[spdimposition_hist],[transformation_financehub].[spdimprojectsnottracked_hist],[transformation_financehub].[spglcognos],[transformation_financehub].[splkpcountry_hist],[transformation_financehub].[splkpdepartment_hist],[transformation_financehub].[sploadpredq_checks]	19
customer	CONSUMPTION_MPS.spLoadConsumption_MPS	-	-	[consumption_mps].[sploaddimcountry],[consumption_mps].[sploaddimdate],[consumption_mps].[sploaddimlinemanager],[consumption_mps].[sploaddimmetriccategory],[consumption_mps].[sploaddimmonitor],[consumption_mps].[sploaddimmonitorstatus],[consumption_mps].[sploaddimposition],[consumption_mps].[sploaddimproject],[consumption_mps].[sploaddimsite],[consumption_mps].[sploadfactactionitems],[consumption_mps].[sploadfactmonitorperformancemonthly],[consumption_mps].[sploadfactmonitorsiteassignedmonthly],[consumption_mps].[sploadfactmonitortimesheetdetails],[consumption_mps].[sploadfactmonitortimesheetmonthly],[consumption_mps].[sploadfactmvrstatistics],[consumption_mps].[sploadfactprojects],[consumption_mps].[sploadfactprojecttrainings],[consumption_mps].[sploadfactsiteissues],[consumption_mps].[sploadfactsiteraecsubmissions],[consumption_mps].[sploadfactsitevisits],[consumption_mps].[sploadfacttimesheetentry],[consumption_mps].[sploadmonitormonthlytimesheetfilter],[dbo].[logmessage]	23
customer	CONSUMPTION_MPS.spLoadDimCountry	[consumption_mps].[dimcountry],[consumption_prima].[globalcountries]	[consumption_mps].[dimcountry]	[dbo].[logmessage],[dbo].[splastrowcount]	5
customer	CONSUMPTION_MPS.spLoadDimDate	[consumption_mps].[dimdate],[consumption_mps].[udfgetdatafiltercolumnvalue],[dbo].[dimdate]	[consumption_mps].[dimdate]	[dbo].[logmessage],[dbo].[splastrowcount]	7
customer	CONSUMPTION_MPS.spLoadDimLineManager	[consumption_mps].[dimlinemanager],[consumption_mps].[dimmonitor],[consumption_prima].[hremployees]	[consumption_mps].[dimlinemanager]	[dbo].[logmessage],[dbo].[splastrowcount]	7
customer	CONSUMPTION_MPS.spLoadDimMetricCategory	[consumption_mps].[dimmetriccategory]	[consumption_mps].[dimmetriccategory]	[dbo].[logmessage],[dbo].[splastrowcount]	5
customer	CONSUMPTION_MPS.spLoadDimMonitor	[consumption_mps].[dimdate],[consumption_mps].[dimmonitor],[consumption_mps].[udfgetdatafiltercolumnvalue],[consumption_prima].[hremployees],[consumption_prima].[hrsupervisoremployees],[consumption_prima].[pfmjobs],[consumption_prima].[pfmtsmaster],[consumption_prima].[pfmtstracker]	[consumption_mps].[dimmonitor]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_MPS.spLoadDimMonitorStatus	[consumption_mps].[dimmonitor],[consumption_mps].[dimmonitorstatus]	[consumption_mps].[dimmonitorstatus]	[dbo].[logmessage],[dbo].[splastrowcount]	6
customer	CONSUMPTION_MPS.spLoadDimPosition	[consumption_mps].[dimmonitor],[consumption_mps].[dimposition]	[consumption_mps].[dimposition]	[dbo].[logmessage],[dbo].[splastrowcount]	6
customer	CONSUMPTION_MPS.spLoadDimProject	[consumption_mps].[dimproject],[consumption_prima].[projects],[dbo].[udfdivide]	[consumption_mps].[dimproject]	[dbo].[logmessage],[dbo].[splastrowcount]	6
customer	CONSUMPTION_MPS.spLoadDimSite	[consumption_mps].[dimsite],[consumption_prima].[sites]	[consumption_mps].[dimsite]	[dbo].[logmessage],[dbo].[splastrowcount]	5
customer	CONSUMPTION_MPS.spLoadFactActionItems	[consumption_mps].[dimdate],[consumption_mps].[factactionitems]	-	[consumption_mps].[sploadfactactionitemspointsattribution],[consumption_mps].[sploadfactactionitemsstaging],[dbo].[logmessage]	6
customer	CONSUMPTION_MPS.spLoadFactActionItemsPointsAttribution	[consumption_mps].[actionitemsstaging],[consumption_mps].[dimpointsystem],[consumption_mps].[factactionitems],[consumption_mps].[tsactionitems_final]	[consumption_mps].[factactionitems]	[dbo].[logmessage]	6
customer	CONSUMPTION_MPS.spLoadFactActionItemsStaging	[consumption_mps].[actionitemsstaging],[consumption_mps].[dimcountry],[consumption_mps].[dimdate],[consumption_mps].[dimmonitor],[consumption_mps].[dimproject],[consumption_mps].[dimsite],[consumption_prima].[globalactionitems],[consumption_prima].[globalhistoryrecords]	[consumption_mps].[actionitemsstaging]	[dbo].[logmessage],[dbo].[splastrowcount]	10
customer	CONSUMPTION_MPS.spLoadFactMonitorPerformanceActionItems	[consumption_mps].[factactionitems],[consumption_mps].[factmonitorperformancemonthly],[dbo].[udfdatetobomdate],[dbo].[udfdatetobomdatekey]	[consumption_mps].[factmonitorperformancemonthly]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_MPS.spLoadFactMonitorPerformanceFactSiteIssues	[consumption_mps].[factmonitorperformancemonthly],[consumption_mps].[factsiteissues],[dbo].[udfdatetobomdate],[dbo].[udfdatetobomdatekey]	[consumption_mps].[factmonitorperformancemonthly]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_MPS.spLoadFactMonitorPerformanceMonthly	[consumption_mps].[factmonitorperformancemonthly]	-	[consumption_mps].[sploadfactmonitorperformanceactionitems],[consumption_mps].[sploadfactmonitorperformancefactsiteissues],[consumption_mps].[sploadfactmonitorperformancemvrstatistics],[consumption_mps].[sploadfactmonitorperformanceprojects],[consumption_mps].[sploadfactmonitorperformanceprojecttrainings],[consumption_mps].[sploadfactmonitorperformancesiteassignedmonthly],[consumption_mps].[sploadfactmonitorperformancesiteraecsubmissions],[consumption_mps].[sploadfactmonitorperformancesitevisits],[consumption_mps].[sploadfactmonitorperformancetimesheetentry],[dbo].[logmessage]	12
customer	CONSUMPTION_MPS.spLoadFactMonitorPerformanceMVRStatistics	[consumption_mps].[factmonitorperformancemonthly],[consumption_mps].[factmvrstatistics],[dbo].[udfdatetobomdate],[dbo].[udfdatetobomdatekey]	[consumption_mps].[factmonitorperformancemonthly]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_MPS.spLoadFactMonitorPerformanceProjects	[consumption_mps].[factmonitorperformancemonthly],[consumption_mps].[factprojects],[dbo].[udfdatetobomdate],[dbo].[udfdatetobomdatekey]	[consumption_mps].[factmonitorperformancemonthly]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_MPS.spLoadFactMonitorPerformanceProjectTrainings	[consumption_mps].[factmonitorperformancemonthly],[consumption_mps].[factprojecttrainings],[dbo].[udfdatetobomdate],[dbo].[udfdatetobomdatekey]	[consumption_mps].[factmonitorperformancemonthly]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_MPS.spLoadFactMonitorPerformanceSiteAssignedMonthly	[consumption_mps].[factmonitorperformancemonthly],[consumption_mps].[factmonitorsiteassignedmonthly],[dbo].[udfdatetobomdate],[dbo].[udfdatetobomdatekey]	[consumption_mps].[factmonitorperformancemonthly]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_MPS.spLoadFactMonitorPerformanceSiteRaEcSubmissions	[consumption_mps].[factmonitorperformancemonthly],[consumption_mps].[factsiteraecsubmissions],[dbo].[udfdatetobomdate],[dbo].[udfdatetobomdatekey]	[consumption_mps].[factmonitorperformancemonthly]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_MPS.spLoadFactMonitorPerformanceSiteVisits	[consumption_mps].[factmonitorperformancemonthly],[consumption_mps].[factsitevisits],[dbo].[udfdatetobomdate],[dbo].[udfdatetobomdatekey]	[consumption_mps].[factmonitorperformancemonthly]	[dbo].[logmessage],[dbo].[splastrowcount]	8
customer	CONSUMPTION_MPS.spLoadFactMonitorPerformanceTimesheetEntry	[consumption_mps].[factmonitorperformancemonthly],[consumption_mps].[facttimesheetentry],[dbo].[udfdatetobomdate],[dbo].[udfdatetobomdatekey]	[consumption_mps].[factmonitorperformancemonthly]	[dbo].[logmessage],[dbo].[splastrowcount]	8
